ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
3-327-12-2-25082023-1-608,Nowshera,Khyber Pakhtunkhwa,Maize,Sorghum,0.9967,0.0263,True
3-327-22-2-23082023-1-356,Nowshera,Khyber Pakhtunkhwa,Sugarcane,Sorghum,0.9976,0.02,True
3-327-22-2-23082023-1-396,Nowshera,Khyber Pakhtunkhwa,Rice,Sugarcane,0.9996,0.0046,True
3-327-22-2-23082023-1-418,Nowshera,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9988,0.0107,True
3-327-22-2-24082023-1-424,Nowshera,Khyber Pakhtunkhwa,Rice,Maize,0.9985,0.013,True
3-327-22-2-24082023-1-465,Nowshera,Khyber Pakhtunkhwa,Sesame (Til),Sorghum,0.9967,0.0267,True
3-327-22-2-25082023-1-558,Nowshera,Khyber Pakhtunkhwa,Maize,Cotton,0.9966,0.0271,True
3-329-12-2-27082023-1-735,Swabi,Khyber Pakhtunkhwa,Maize,Sorghum,0.9995,0.0047,True
3-329-12-2-27082023-1-750,Swabi,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9997,0.0036,True
3-329-12-2-28082023-1-829,Swabi,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9984,0.0138,True
3-329-12-2-28082023-1-842,Swabi,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9997,0.0028,True
3-329-12-2-28082023-1-884,Swabi,Khyber Pakhtunkhwa,Maize,Rice,0.9994,0.0061,True
3-329-12-2-28082023-1-890,Swabi,Khyber Pakhtunkhwa,Sugarcane,Rice,0.9997,0.0029,True
3-329-12-2-28082023-1-964,Swabi,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9994,0.0059,True
3-329-12-2-28082023-1-966,Swabi,Khyber Pakhtunkhwa,Maize,Sugarcane,0.997,0.0229,True
3-329-22-2-26082023-1-720,Swabi,Khyber Pakhtunkhwa,Rice,Maize,0.9933,0.0422,True
3-329-22-2-26082023-1-734,Swabi,Khyber Pakhtunkhwa,Rice,Maize,0.9999,0.0016,True
3-329-22-2-27082023-1-752,Swabi,Khyber Pakhtunkhwa,Maize,Sorghum,0.9966,0.0238,True
3-329-22-2-27082023-1-753,Swabi,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9955,0.0294,True
3-329-22-2-27082023-1-763,Swabi,Khyber Pakhtunkhwa,Rice,Cotton,0.9958,0.0335,True
3-329-22-2-27082023-1-772,Swabi,Khyber Pakhtunkhwa,Sorghum,Maize,0.9953,0.0315,True
3-329-22-2-27082023-1-785,Swabi,Khyber Pakhtunkhwa,Maize,Sorghum,0.9994,0.0056,True
3-329-22-2-27082023-1-834,Swabi,Khyber Pakhtunkhwa,Maize,Sorghum,0.9997,0.0035,True
3-329-22-2-28082023-1-893,Swabi,Khyber Pakhtunkhwa,Sugarcane,Rice,0.9995,0.0045,True
3-330-20-2-31082023-1-1088,Swat,Khyber Pakhtunkhwa,Maize,Sorghum,0.994,0.0386,True
3-330-24-2-23082023-1-278,Swat,Khyber Pakhtunkhwa,Rice,Maize,0.9946,0.0412,True
3-331-20-2-04092023-1-1336,Upper Dir,Khyber Pakhtunkhwa,Maize,Sorghum,0.9999,0.0012,True
3-331-20-2-05092023-1-1354,Upper Dir,Khyber Pakhtunkhwa,Maize,Rice,0.9998,0.0026,True
