ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
2-204-22-1-14032023-2-1507,Jacobabad,Sindh,Barseem,Rapeseed Mustard,0.9983,0.0142,True
2-204-5-1-13032023-2-973,Jacobabad,Sindh,Wheat,Rapeseed Mustard,0.9989,0.0098,True
2-204-5-1-14032023-2-1125,Jacobabad,Sindh,Wheat,Rapeseed Mustard,0.9984,0.0136,True
2-204-5-1-15032023-2-1149,Jacobabad,Sindh,Rapeseed Mustard,Wheat,0.9979,0.017,True
2-205-13-1-16032023-1-1510,Jamshoro,Sindh,Maize,Wheat,0.9992,0.0073,True
2-205-13-1-18032023-1-1705,Jamshoro,Sindh,Maize,Wheat,0.9975,0.0206,True
2-205-13-1-18032023-2-1772,Jamshoro,Sindh,Maize,Wheat,0.9978,0.0182,True
2-205-13-1-18032023-2-1805,Jamshoro,Sindh,Wheat,Barseem,0.9994,0.006,True
2-205-13-1-18032023-2-1818,Jamshoro,Sindh,Wheat,Rapeseed Mustard,0.9992,0.0078,True
2-205-13-1-19032023-2-1996,Jamshoro,Sindh,Wheat,Maize,0.9987,0.0109,True
2-205-13-1-19032023-2-1999,Jamshoro,Sindh,Barseem,Wheat,0.9993,0.0068,True
2-205-15-1-16032023-2-1566,Jamshoro,Sindh,Barseem,Wheat,0.998,0.0163,True
2-205-15-1-16032023-2-1617,Jamshoro,Sindh,Wheat,Rapeseed Mustard,0.9972,0.0219,True
2-205-15-1-18032023-1-1814,Jamshoro,Sindh,Wheat,Barseem,0.999,0.0091,True
2-205-15-1-18032023-2-1792,Jamshoro,Sindh,Maize,Wheat,0.9986,0.0128,True
2-205-15-1-18032023-2-1798,Jamshoro,Sindh,Maize,Wheat,0.9994,0.0055,True
2-205-15-1-18032023-2-1803,Jamshoro,Sindh,Maize,Wheat,0.9991,0.0084,True
2-205-15-1-19032023-2-1941,Jamshoro,Sindh,Rapeseed Mustard,Wheat,0.9991,0.0085,True
2-205-15-1-19032023-2-1976,Jamshoro,Sindh,Barseem,Wheat,0.9994,0.0057,True
2-205-15-1-19032023-2-1986,Jamshoro,Sindh,Barseem,Wheat,0.9985,0.0129,True
2-205-15-1-19032023-2-1996,Jamshoro,Sindh,Barseem,Wheat,0.9987,0.0117,True
2-206-5-1-10032023-2-773,Kashmore,Sindh,Rapeseed Mustard,Wheat,0.9978,0.0177,True
2-206-5-1-11032023-2-822,Kashmore,Sindh,Wheat,Barseem,0.9983,0.0139,True
2-206-5-1-12032023-2-907,Kashmore,Sindh,Rapeseed Mustard,Wheat,0.9978,0.0184,True
2-206-5-1-12032023-2-908,Kashmore,Sindh,Rapeseed Mustard,Wheat,0.9977,0.0188,True
2-207-12-1-16032023-1-1759,Khairpur,Sindh,Wheat,Barseem,0.9997,0.003,True
2-207-12-1-16032023-1-1798,Khairpur,Sindh,Sugarcane,Wheat,0.9996,0.0043,True
2-207-12-1-16032023-1-1805,Khairpur,Sindh,Sugarcane,Wheat,0.9986,0.0121,True
2-207-12-1-17032023-1-1868,Khairpur,Sindh,Wheat,Barseem,0.9992,0.0076,True
2-207-14-1-15032023-1-1717,Khairpur,Sindh,Sugarcane,Wheat,0.9973,0.0222,True
2-207-14-1-15032023-1-1723,Khairpur,Sindh,Sugarcane,Wheat,0.9995,0.005,True
2-207-14-1-15032023-1-1833,Khairpur,Sindh,Wheat,Rapeseed Mustard,0.9996,0.0038,True
2-207-14-1-16032023-1-1857,Khairpur,Sindh,Wheat,Barseem,0.999,0.0085,True
2-207-14-1-16032023-1-1907,Khairpur,Sindh,Wheat,Barseem,0.9996,0.0044,True
2-207-14-1-16032023-1-1933,Khairpur,Sindh,Wheat,Sugarcane,0.9978,0.0178,True
2-208-12-1-03032023-1-11,Larkana,Sindh,Rapeseed Mustard,Wheat,0.9984,0.0132,True
2-208-12-1-03032023-1-94,Larkana,Sindh,Rapeseed Mustard,Barseem,0.9982,0.0148,True
2-208-12-1-03032023-2-38,Larkana,Sindh,Wheat,Rapeseed Mustard,0.9982,0.0153,True
2-208-12-1-03032023-2-78,Larkana,Sindh,Rapeseed Mustard,Wheat,0.9992,0.0071,True
2-208-12-1-03032023-2-80,Larkana,Sindh,Rapeseed Mustard,Wheat,0.9995,0.005,True
2-208-12-1-03032023-2-81,Larkana,Sindh,Wheat,Rapeseed Mustard,0.9991,0.0084,True
2-208-12-1-04032023-1-185,Larkana,Sindh,Sugarcane,Wheat,0.9992,0.0075,True
2-208-12-1-04032023-1-187,Larkana,Sindh,Barseem,Wheat,0.997,0.0219,True
2-208-12-1-04032023-1-384,Larkana,Sindh,Rapeseed Mustard,Wheat,0.9987,0.011,True
2-208-12-1-04032023-1-390,Larkana,Sindh,Rapeseed Mustard,Wheat,0.9979,0.0171,True
2-208-12-1-04032023-2-184,Larkana,Sindh,Maize,Sugarcane,0.9987,0.0109,True
2-208-12-1-05032023-1-425,Larkana,Sindh,Wheat,Barseem,0.9977,0.0191,True
2-208-14-1-03032023-1-66,Larkana,Sindh,Rapeseed Mustard,Barseem,0.9975,0.0205,True
2-208-14-1-04032023-1-136,Larkana,Sindh,Sugarcane,Wheat,0.9993,0.0067,True
2-208-14-1-04032023-1-139,Larkana,Sindh,Sugarcane,Wheat,0.9993,0.0067,True
2-208-14-1-04032023-1-144,Larkana,Sindh,Barseem,Wheat,0.9971,0.0212,True
2-208-14-1-04032023-2-137,Larkana,Sindh,Maize,Wheat,0.9994,0.0057,True
2-208-14-1-05032023-1-322,Larkana,Sindh,Wheat,Barseem,0.9982,0.0152,True
2-208-14-1-05032023-1-333,Larkana,Sindh,Wheat,Barseem,0.9988,0.0109,True
2-208-14-1-05032023-1-407,Larkana,Sindh,Wheat,Barseem,0.9972,0.0224,True
2-209-13-1-07032023-1-528,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.9992,0.007,True
2-209-13-1-07032023-2-502,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.999,0.0087,True
2-209-13-1-08032023-2-576,Mirpur Khas,Sindh,Wheat,Rapeseed Mustard,0.9973,0.0216,True
2-209-13-1-08032023-2-585,Mirpur Khas,Sindh,Wheat,Rapeseed Mustard,0.9992,0.0073,True
2-209-13-1-08032023-2-622,Mirpur Khas,Sindh,Rapeseed Mustard,Wheat,0.9995,0.0051,True
2-209-13-1-08032023-2-624,Mirpur Khas,Sindh,Wheat,Rapeseed Mustard,0.9985,0.0132,True
2-209-13-1-08032023-2-631,Mirpur Khas,Sindh,Sugarcane,Wheat,0.9978,0.0176,True
2-209-13-1-09032023-2-662,Mirpur Khas,Sindh,Barseem,Wheat,0.9993,0.0067,True
2-209-13-1-09032023-2-695,Mirpur Khas,Sindh,Sugarcane,Wheat,0.9993,0.0067,True
2-209-13-1-09032023-2-715,Mirpur Khas,Sindh,Barseem,Wheat,0.9978,0.0181,True
2-209-15-1-07032023-2-487,Sanghar,Sindh,Barseem,Wheat,0.9974,0.0211,True
2-209-15-1-07032023-2-522,Sanghar,Sindh,Barseem,Wheat,0.9977,0.0184,True
2-210-22-1-16032023-1-1774,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.9984,0.0133,True
2-210-22-1-16032023-2-1615,Sanghar,Sindh,Rapeseed Mustard,Wheat,0.9979,0.0173,True
2-210-22-1-16032023-2-1633,Sanghar,Sindh,Sugarcane,Rapeseed Mustard,0.9993,0.0067,True
2-210-22-1-16032023-2-1723,Sanghar,Sindh,Barseem,Wheat,0.9972,0.0222,True
2-210-22-1-16032023-2-1751,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.9998,0.0025,True
2-210-22-1-16032023-2-1761,Sanghar,Sindh,Rapeseed Mustard,Wheat,0.9988,0.011,True
2-210-22-1-17032023-2-1818,Sanghar,Sindh,Sugarcane,Wheat,0.9986,0.0115,True
2-210-22-1-18032023-1-1933,Sanghar,Sindh,Maize,Rapeseed Mustard,0.9997,0.0027,True
2-210-22-1-18032023-1-1935,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.9997,0.0029,True
2-210-22-1-18032023-1-1998,Sanghar,Sindh,Sugarcane,Rapeseed Mustard,0.9998,0.0018,True
2-210-22-1-18032023-2-1911,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.9994,0.0055,True
2-210-22-1-18032023-2-1957,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.9982,0.0149,True
2-210-5-1-16032023-2-1278,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.9988,0.0103,True
2-210-5-1-16032023-2-1321,Sanghar,Sindh,Sugarcane,Rapeseed Mustard,0.999,0.0091,True
2-210-5-1-17032023-2-1412,Sanghar,Sindh,Wheat,Rapeseed Mustard,0.9984,0.013,True
2-210-5-1-24032023-2-1806,Dera Ismail Khan,Khyber Pakhtunkhwa,Maize,Wheat,0.9987,0.0116,True
2-210-5-1-24032023-2-1818,Dera Ismail Khan,Khyber Pakhtunkhwa,Sugarcane,Wheat,0.9995,0.0048,True
2-210-5-1-24032023-2-1869,Dera Ismail Khan,Khyber Pakhtunkhwa,Barseem,Wheat,0.9981,0.0159,True
2-211-12-1-09032023-1-1028,Shahdadkot,Sindh,Wheat,Barseem,0.9975,0.0202,True
2-211-12-1-09032023-1-1037,Shahdadkot,Sindh,Wheat,Rapeseed Mustard,0.9986,0.0116,True
2-211-12-1-09032023-1-1043,Shahdadkot,Sindh,Rapeseed Mustard,Wheat,0.9989,0.0097,True
2-211-12-1-10032023-1-1138,Shahdadkot,Sindh,Rapeseed Mustard,Wheat,0.999,0.0091,True
2-211-12-1-10032023-1-1155,Shahdadkot,Sindh,Rapeseed Mustard,Wheat,0.9994,0.0062,True
2-211-12-1-10032023-1-1165,Shahdadkot,Sindh,Rapeseed Mustard,Wheat,0.9993,0.0066,True
2-211-12-1-10032023-1-1168,Shahdadkot,Sindh,Rapeseed Mustard,Wheat,0.9993,0.007,True
2-211-12-1-11032023-1-1324,Shahdadkot,Sindh,Wheat,Rapeseed Mustard,0.9983,0.0144,True
